window,label,mode,status,coin,side,ts_open,ts_close,notional,potential_pp,cash_bybit_after_open,cash_okx_after_open,cash_bybit_after_close,cash_okx_after_close,cash_bybit,cash_okx,equity_bybit,equity_okx,pnl_bybit,pnl_okx,fee_bybit,fee_okx
all,frozen,fixed100,closed,KAITO,long,1786446062,1786464057,100.0,0.20422412157058717,99.9,99.95,99.72296444512854,100.4914201183432,99.72296444512854,100.4914201183432,99.72296444512854,100.4914201183432,-0.07695859627519545,0.591715976331365,0.2000769585962752,0.1002958579881657
all,frozen,fixed100,closed,KAITO,long,1786483114,1786492857,100.0,0.22116167545318605,99.62296444512855,100.4414201183432,101.99888009440713,98.43632952991928,101.99888009440713,98.43632952991928,101.99888009440713,98.43632952991928,2.473442207071517,-1.9560686227352875,0.1975265577929285,0.09902196568863236
all,frozen,fixed100,closed,KAITO,long,1786505611,1786507312,100.0,0.29351259469985963,101.89888009440713,98.38632952991928,102.77726496862601,97.96259355202952,102.77726496862601,97.96259355202952,102.77726496862601,97.96259355202952,0.9774074667521221,-0.37392293935944865,0.19902259253324786,0.09981303853032027
all,frozen,fixed100,closed,KAITO,long,1786514433,1786521637,100.0,0.6373310208320617,102.67726496862602,97.91259355202952,103.23076586629209,98.1611002717906,103.23076586629209,98.1611002717906,103.23076586629209,98.1611002717906,0.6528480496164523,0.29865604778497157,0.19934715195038355,0.10014932802389248
all,frozen,fixed100,closed,BEAT,long,1786541636,1786546201,100.0,0.23051453083753587,103.1307658662921,98.1111002717906,98.92108844693725,102.71999495170014,98.92108844693725,102.71999495170014,98.92108844693725,102.71999495170014,-4.105571847507336,4.661225292555818,0.20410557184750733,0.10233061264627791
all,frozen,fixed100,closed,ACU,long,1786600054,1786602084,100.0,0.6770085550844669,98.82108844693725,102.66999495170015,95.97779220952339,106.3725144500944,95.97779220952339,106.3725144500944,95.97779220952339,106.3725144500944,-2.74055568173214,3.7543966967426194,0.20274055568173213,0.10187719834837133
all,frozen,fixed100,closed,HOME,long,1786629763,1786636861,100.0,0.22594682574272157,95.87779220952339,106.3225144500944,95.05521791497009,107.52755127033609,95.05521791497009,107.52755127033609,95.05521791497009,107.52755127033609,-0.7218524421111905,1.2556646525679707,0.20072185244211121,0.100627832326284
all,frozen,fixed100,closed,HOME,long,1786669924,1786686382,100.0,0.25120912194252015,94.95521791497009,107.4775512703361,86.78043250724477,116.09191710719529,86.78043250724477,116.09191710719529,86.78043250724477,116.09191710719529,-8.066718689036282,8.66870018695267,0.2080667186890363,0.10433435009347633
all,frozen,fixed100,closed,2Z,long,1786688000,1786705082,100.0,0.21554599404335023,86.68043250724477,116.04191710719529,85.24860706818146,117.8471375248287,85.24860706818146,117.8471375248287,85.24860706818146,117.8471375248287,-1.330494944119201,1.856148491879349,0.2013304949441192,0.10092807424593968
all,frozen,fixed100,closed,2Z,long,1786710836,1786718194,100.0,0.21976625621318818,85.14860706818146,117.7971375248287,85.98395298013115,117.33135709437111,85.98395298013115,117.33135709437111,85.98395298013115,117.33135709437111,0.9344115004492356,-0.41598842466992414,0.19906558849955075,0.09979200578766503
