window,label,theta_open,p50_open,min_profit_pp,min_theta_close,mode,status,n_policy_closed,n_applied,n_skipped_nonpositive,n_price_mismatch,n_not_applied,n_negative_rounds,n_open_end,final_bybit,final_okx,min_bybit,min_okx,policy_sum_potential_pp,complete
is,frozen,0.5,0.6,0.2,0.05,fixed100,ok,37,37,0,0,0,0,0,212.26438518433304,14.438443326620373,85.14860706818146,14.438443326620373,26.511466143280252,True
is,frozen,0.5,0.6,0.2,0.05,fixed100_equalize,ok,37,37,0,0,0,0,0,113.35141425547673,113.35141425547673,93.01659918492778,87.00522606451233,26.511466143280252,True
is,frozen,0.5,0.6,0.2,0.05,balance_equalize,ok,37,37,0,0,0,0,0,114.15317390678655,114.15317390678655,92.91599336585553,85.77037932446666,26.511466143280252,True
is,theta_open=0.40,0.4,0.6,0.2,0.05,fixed100,ok,42,42,0,0,0,0,0,217.24047185319608,10.308846530682692,81.94289515156893,10.308846530682692,27.33972860649226,True
is,theta_open=0.40,0.4,0.6,0.2,0.05,fixed100_equalize,ok,42,42,0,0,0,0,0,113.77465919193938,113.77465919193938,89.35518993807945,89.5349427431009,27.33972860649226,True
is,theta_open=0.40,0.4,0.6,0.2,0.05,balance_equalize,ok,42,42,0,0,0,0,0,114.6372381015176,114.6372381015176,89.20411465489379,89.27623457400173,27.33972860649226,True
is,theta_open=0.60,0.6,0.6,0.2,0.05,fixed100,ok,34,34,0,0,0,0,0,216.26248631917667,8.840142633246696,94.00698921030605,8.840142633246696,24.915801651030762,True
is,theta_open=0.60,0.6,0.6,0.2,0.05,fixed100_equalize,ok,34,34,0,0,0,0,0,112.5513144762117,112.5513144762117,94.60794653512932,86.26079344661571,24.915801651030762,True
is,theta_open=0.60,0.6,0.6,0.2,0.05,balance_equalize,ok,34,34,0,0,0,0,0,113.24516766525343,113.24516766525343,94.04571416954137,85.13545991558766,24.915801651030762,True
is,p50_open=0.50,0.5,0.5,0.2,0.05,fixed100,ok,39,39,0,0,0,0,0,190.1618469589166,40.4671325162377,80.17944888604404,37.815411266182586,29.451170369237648,True
is,p50_open=0.50,0.5,0.5,0.2,0.05,fixed100_equalize,ok,39,39,0,0,0,0,0,115.31448973757716,115.31448973757716,93.23500514645448,87.46703120842292,29.451170369237648,True
is,p50_open=0.50,0.5,0.5,0.2,0.05,balance_equalize,ok,39,39,0,0,0,0,0,116.3321610399266,116.3321610399266,93.1191792197543,87.13469259323053,29.451170369237648,True
is,p50_open=0.70,0.5,0.7,0.2,0.05,fixed100,ok,33,33,0,0,0,0,0,201.46142460545693,23.32306689658971,86.95505168153524,23.32306689658971,24.716488729603576,True
is,p50_open=0.70,0.5,0.7,0.2,0.05,fixed100_equalize,ok,33,33,0,0,0,0,0,112.39224575102332,112.39224575102332,92.89443966016987,89.96711636210908,24.716488729603576,True
is,p50_open=0.70,0.5,0.7,0.2,0.05,balance_equalize,ok,33,33,0,0,0,0,0,113.07472998943538,113.07472998943538,92.80262765696176,89.78840254875342,24.716488729603576,True
is,min_profit_pp=0.15,0.5,0.6,0.15,0.05,fixed100,ok,42,42,0,0,0,0,0,217.6014573885512,7.978061066727306,88.15714326367646,7.978061066727306,25.32770165577529,True
is,min_profit_pp=0.15,0.5,0.6,0.15,0.05,fixed100_equalize,ok,42,42,0,0,0,0,0,112.78975922763925,112.78975922763925,94.23179778833699,88.95773287780408,25.32770165577529,True
is,min_profit_pp=0.15,0.5,0.6,0.15,0.05,balance_equalize,ok,42,42,0,0,0,0,0,113.51569548563525,113.51569548563525,94.15575824321303,88.76358552034912,25.32770165577529,True
is,min_profit_pp=0.25,0.5,0.6,0.25,0.05,fixed100,ok,37,37,0,0,0,0,0,225.36414429757681,2.436774963903563,86.63314517306341,2.436774963903563,27.69412416554986,True
is,min_profit_pp=0.25,0.5,0.6,0.25,0.05,fixed100_equalize,ok,37,37,0,0,0,0,0,113.90045963074022,113.90045963074022,93.12527149049524,87.80546901550477,27.69412416554986,True
is,min_profit_pp=0.25,0.5,0.6,0.25,0.05,balance_equalize,ok,37,37,0,0,0,0,0,114.78090764744971,114.78090764744971,93.01688791160376,86.58475410829487,27.69412416554986,True
is,min_theta_close=0,0.5,0.6,0.2,0.0,fixed100,ok,39,39,0,0,0,0,0,202.549113330028,24.78265358616096,84.7150519461674,24.78265358616096,27.180653304979188,True
is,min_theta_close=0,0.5,0.6,0.2,0.0,fixed100_equalize,ok,39,39,0,0,0,0,0,113.66588345809453,113.66588345809453,92.92978884291146,88.77109084226615,27.180653304979188,True
is,min_theta_close=0,0.5,0.6,0.2,0.0,balance_equalize,ok,39,39,0,0,0,0,0,114.52241051017822,114.52241051017822,92.83551798578343,87.67044848578742,27.180653304979188,True
is,min_theta_close=0.10,0.5,0.6,0.2,0.1,fixed100,ok,36,36,0,0,0,0,0,219.72341435172854,6.689169383467762,89.9062439121691,6.689169383467762,26.122505609691128,True
is,min_theta_close=0.10,0.5,0.6,0.2,0.1,fixed100_equalize,ok,36,36,0,0,0,0,0,113.20629186759814,113.20629186759814,93.17016111227532,87.06923342814738,26.122505609691128,True
is,min_theta_close=0.10,0.5,0.6,0.2,0.1,balance_equalize,ok,36,36,0,0,0,0,0,113.97736342142917,113.97736342142917,93.05833165478725,85.82574852833012,26.122505609691128,True
