base_coin,okx_symbol,bybit_symbol,status,in_plot_set,gecko_id,gecko_name,map_method,map_note,n_candidates,candidate_ids,market_cap_usd,median_rel_vol,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,n_hist_days,n_days_both,n_days_volume,n_days_mcap,hist_start,hist_end,ticker_volume_usd,ticker_mcap_usd,window_start,window_end,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,paprika_id,paprika_name
ASTER,ASTER-USDT-SWAP,ASTERUSDT,ok,True,aster-2,Aster,markets_max_mcap,,1,aster-2,1972788811.2872837,0.007966900902226305,0.012503912973264279,1.0657658191307242,14780610.4205,22315283.650229994,30,30,30,30,2026-08-05,2026-09-03,138734767.0,1966783933.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,aster-2,Aster
AT,AT-USDT-SWAP,ATUSDT,ok,True,apro,Apro,markets_max_mcap,,1,apro,33211009.24480069,0.018164137822516815,0.024512858174827932,0.8586625436736872,612923.7147049999,834639.6487109999,30,30,30,30,2026-08-05,2026-09-03,1916541.0,33188678.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,1.0,1.0,5,apro,Apro
ATH,ATH-USDT-SWAP,ATHUSDT,ok,True,aethir,Aethir,markets_max_mcap,,4,"aethir,ath,athenadao-token,high-af",97078038.8696123,0.015034624843442767,0.01928599128239759,0.970110009123846,1226442.0589299998,1714753.2777726664,30,30,30,30,2026-08-05,2026-09-03,7056802.0,96398814.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,10.0,10.0,5,aethir,Aethir
ATOM,ATOM-USDT-SWAP,ATOMUSDT,ok,True,cosmos,Cosmos Hub,markets_max_mcap,,1,cosmos,805262786.3451107,0.011128599084597346,0.01217365506285985,0.4360522231572133,8699305.843765,9423570.296959667,30,30,30,30,2026-08-05,2026-09-03,30634550.0,803816041.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.0001,0.1,0.1,5,cosmos,Cosmos Hub
AUCTION,AUCTION-USDT-SWAP,AUCTIONUSDT,ok,True,auction,Bounce,markets_max_mcap,,2,"auction,house-3",25726605.498663533,0.026747946828384828,0.19698861949319196,2.948400680528545,596192.3139500001,4663912.157043335,30,30,30,30,2026-08-05,2026-09-03,7994266.0,25793447.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.1,0.1,5,auction,Bounce
AVAX,AVAX-USDT-SWAP,AVAXUSDT,ok,True,avalanche-2,Avalanche,markets_max_mcap,,4,"avalanche-2,avalanche-wormhole,beam-bridged-avax-beam,binance-peg-avalanche",3248912207.416345,0.01293062050280851,0.015167828784663728,0.5426577515867052,38246167.1595,44951455.877723336,30,30,30,30,2026-08-05,2026-09-03,266935933.0,3247554709.0,2026-08-05,2026-09-03,0.001,0.1,0.1,0.001,0.1,0.1,5,avalanche-2,Avalanche
AVNT,AVNT-USDT-SWAP,AVNTUSDT,ok,True,avantis,Avantis,markets_max_mcap,,1,avantis,38050306.0,0.07624481532566388,0.15299476331570983,1.5017818896412343,2901138.5540549997,5821497.560560334,30,30,30,30,2026-08-05,2026-09-03,7132461.0,38050306.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,avantis,Avantis
AXS,AXS-USDT-SWAP,AXSUSDT,ok,True,axie-infinity,Axie Infinity,markets_max_mcap,,1,axie-infinity,167001789.0,0.02114630437794292,0.027173775111664623,0.5173763450846245,3531470.661855,4538069.057531667,30,30,30,30,2026-08-05,2026-09-03,25737664.0,167001789.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,axie-infinity,Axie Infinity
AZTEC,AZTEC-USDT-SWAP,AZTECUSDT,ok,True,aztec,Aztec,markets_max_mcap,,1,aztec,42689687.0,0.01002740002181323,0.014619814547777466,0.9465442715617177,428066.568355,624115.3070426665,30,30,30,30,2026-08-05,2026-09-03,3196564.0,42689687.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,10.0,10.0,5,aztec,Aztec
BABY,BABY-USDT-SWAP,BABYUSDT,ok,True,babylon,Babylon,markets_max_mcap,,9,"babylon,a-fund-baby,baby,baby-2,baby-samo-coin,babyswap,dancing-baby,deer-seized-by-us-government,niche-baby",52834428.97290455,0.02771036437790768,0.03869587969726703,0.6465769393770896,1306852.7859200002,1924895.3265343332,30,30,30,30,2026-08-05,2026-09-03,5050796.0,52636104.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,10.0,10.0,5,babylon,Babylon
