base_coin,okx_symbol,bybit_symbol,status,in_plot_set,gecko_id,gecko_name,map_method,map_note,n_candidates,candidate_ids,market_cap_usd,median_rel_vol,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,n_hist_days,n_days_both,n_days_volume,n_days_mcap,hist_start,hist_end,ticker_volume_usd,ticker_mcap_usd,window_start,window_end,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,paprika_id,paprika_name
CRV,CRV-USDT-SWAP,CRVUSDT,ok,True,curve-dao-token,Curve DAO,markets_max_mcap,,2,"curve-dao-token,bridged-curve-dao-token-stargate",582219224.0,0.03277260106002615,0.052349696827212626,0.8369905301699746,19080838.35763,30478999.863374997,30,30,30,30,2026-08-05,2026-09-03,72686714.0,582219224.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,curve-dao-token,Curve DAO
DASH,DASH-USDT-SWAP,DASHUSDT,ok,True,dash,Dash,markets_max_mcap,,2,"dash,dash-2",591031819.0,0.017746695522157668,0.03092464709631254,1.1381352888595693,10488861.7357,18277450.42526667,30,30,30,30,2026-08-05,2026-09-03,98076514.0,591031819.0,2026-08-05,2026-09-03,0.01,1.0,1.0,0.01,0.01,0.01,5,dash,Dash
DATA,DATA-USDT-SWAP,DATAUSDT,missing_market_cap,False,streamr,Streamr,override,override id not in top markets pages,6,"story-2,data-ai,data-bot,data-center-coin,data-hedge,streamr",,,,0.6008010666029104,1407534.6501000002,1706750.1327133337,30,0,30,0,2026-08-05,2026-09-03,,,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,streamr,Streamr
DOGE,DOGE-USDT-SWAP,DOGEUSDT,ok,True,dogecoin,Dogecoin,markets_max_mcap,,7,"dogecoin,binance-peg-dogecoin,department-of-gov-efficiency,department-of-government-efficiency,department-of-government-efficiency-2,department-of-government-efficiency-4,doonlygoodeveryday",13896986978.0,0.02004811347070113,0.028264186139894773,0.8925296783286465,278608371.8358,392787026.7298857,30,30,30,30,2026-08-05,2026-09-03,981638257.0,13896986978.0,2026-08-05,2026-09-03,1e-05,0.01,0.01,1e-05,1.0,1.0,5,dogecoin,Dogecoin
DOOD,DOOD-USDT-SWAP,DOODUSDT,ok,True,doodles,Doodles,markets_max_mcap,,1,doodles,10769752.0,0.04733099229299802,0.055980098266156304,0.4546249136577307,509743.0489095,602891.7752621333,30,30,30,30,2026-08-05,2026-09-03,7414347.0,10769752.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,10.0,10.0,5,doodles,Doodles
DOT,DOT-USDT-SWAP,DOTUSDT,ok,True,polkadot,Polkadot,override,,5,"polkadot,binance-peg-polkadot,dot,pippin-s-friend,xcdot",1522617209.0,0.01187022684639183,0.014552702409150516,0.5616356258830071,18073811.67105,22158195.125628334,30,30,30,30,2026-08-05,2026-09-03,127742883.0,1522617209.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,polkadot,Polkadot
DYDX,DYDX-USDT-SWAP,DYDXUSDT,ok,True,dydx-chain,dYdX,markets_max_mcap,,2,"dydx-chain,dydx-wormhole",98102680.0,0.027155231599279447,0.033380262767371896,0.5286721072600029,2664000.99591,3274693.2365834,30,30,30,30,2026-08-05,2026-09-03,2482071.0,98102680.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,dydx-chain,dYdX
EDEN,EDEN-USDT-SWAP,EDENUSDT,ok,True,openeden,OpenEden,markets_max_mcap,,3,"openeden,eden,edenlayer",25982469.0,0.2770977221737473,0.8251739262564308,1.7015732556364145,7199682.97635,21440055.958566003,30,30,30,30,2026-08-05,2026-09-03,4614661.0,25982469.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,openeden,OpenEden
EDGE,EDGE-USDT-SWAP,EDGEUSDT,ok,True,edgex,edgeX,markets_max_mcap,,4,"edgex,definitive,edge,edge-2",220756362.0,0.011387127594990897,0.03868909692662296,2.420652157431166,2513780.8614999996,8540864.286586666,30,30,30,30,2026-08-05,2026-09-03,45615748.0,220756362.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,edgex,edgeX
EGLD,EGLD-USDT-SWAP,EGLDUSDT,ok,True,elrond-erd-2,MultiversX,markets_max_mcap,,1,elrond-erd-2,144332789.0,0.015621291117432781,0.03444936538271056,2.0685257633799417,2254664.5147599997,4972172.984966666,30,30,30,30,2026-08-05,2026-09-03,44501732.0,144332789.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.01,0.01,5,elrond-erd-2,MultiversX
EIGEN,EIGEN-USDT-SWAP,EIGENUSDT,ok,True,eigenlayer,EigenCloud (prev. EigenLayer),markets_max_mcap,,1,eigenlayer,192648787.0,0.019724543127800746,0.02462118507284796,0.6459514976600677,3799909.3077,4743241.438786668,30,30,30,30,2026-08-05,2026-09-03,22797947.0,192648787.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,1.0,1.0,5,eigenlayer,EigenCloud (prev. EigenLayer)
ENA,ENA-USDT-SWAP,ENAUSDT,ok,True,ethena,Ethena,markets_max_mcap,,1,ethena,1685299997.0,0.08159832388073932,0.1174213098699956,1.069537950807571,137517654.991415,197890133.17163965,30,30,30,30,2026-08-05,2026-09-03,809491587.0,1685299997.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,ethena,Ethena
ENJ,ENJ-USDT-SWAP,ENJUSDT,ok,True,enjincoin,Enjin Coin,markets_max_mcap,,1,enjincoin,52413896.0,0.011665256153034303,0.014924373903406899,0.8066760243089961,611421.5228185,782244.5816382833,30,30,30,30,2026-08-05,2026-09-03,2948070.0,52413896.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,0.1,0.1,5,enjincoin,Enjin Coin
ENS,ENS-USDT-SWAP,ENSUSDT,ok,True,ethereum-name-service,Ethereum Name Service,markets_max_mcap,,1,ethereum-name-service,244829871.0,0.008916846493580025,0.020697521812973553,1.4372153986565706,2183110.37675,5067371.59549,30,30,30,30,2026-08-05,2026-09-03,22111137.0,244829871.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.1,0.1,5,ethereum-name-service,Ethereum Name Service
ENSO,ENSO-USDT-SWAP,ENSOUSDT,ok,True,enso,Enso,markets_max_mcap,,1,enso,17953127.0,0.21153435882144656,0.28078136676180887,0.8586531647285162,3797703.2087850003,5040903.5367083335,30,30,30,30,2026-08-05,2026-09-03,43174610.0,17953127.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,enso,Enso
ESP,ESP-USDT-SWAP,ESPUSDT,ok,True,espresso,Espresso,markets_max_mcap,,2,"espresso,spain-coin",55299266.0,0.08824496558326832,0.13593009640007397,0.8392056341391833,4879881.82495,7516834.558233333,30,30,30,30,2026-08-05,2026-09-03,1631993.0,55299266.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,10.0,10.0,5,espresso,Espresso
ETC,ETC-USDT-SWAP,ETCUSDT,ok,True,ethereum-classic,Ethereum Classic,markets_max_mcap,,1,ethereum-classic,1205416801.0,0.008784179793467139,0.012653424870656,1.0877705644003066,10588597.90605,15252650.929280005,30,30,30,30,2026-08-05,2026-09-03,42536708.0,1205416801.0,2026-08-05,2026-09-03,0.001,0.01,0.01,0.001,0.1,0.1,5,ethereum-classic,Ethereum Classic
ETH,ETH-USDT-SWAP,ETHUSDT,ok,True,ethereum,Ethereum,markets_max_mcap,,14,"ethereum,anubis-bridged-eth-anubis,bifrost-bridged-eth-bifrost,bridged-binance-peg-ethereum-opbnb,bridged-wrapped-ether-eclipse,bridged-wrapped-ether-starkgate,ethereum-wormhole,immutable-zkevm-bridged-eth,krown-bridged-eth-krown,near-intents-bridged-eth,nova-eth,osmosis-alleth,the-infinite-garden,the-ticker-is-eth",306063942965.0,0.02492597048155279,0.027606188352768887,0.5961303274236065,7628940807.813246,8449258857.4829035,30,30,30,30,2026-08-05,2026-09-03,15389993657.0,306063942965.0,2026-08-05,2026-09-03,0.01,0.01,0.01,0.01,0.01,0.01,5,ethereum,Ethereum
ETHFI,ETHFI-USDT-SWAP,ETHFIUSDT,ok,True,ether-fi,Ether.fi,markets_max_mcap,,1,ether-fi,578270947.0,0.024159239353771303,0.02887994312870606,0.6372808549382456,13970586.219905,16700432.062343,30,30,30,30,2026-08-05,2026-09-03,61320958.0,578270947.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,ether-fi,Ether.fi
EWT,EWT-USDT-SWAP,EWTUSDT,ok,True,energy-web-token,Energy Web Token,markets_max_mcap,,2,"energy-web-token,ishares-msci-taiwan-etf-robinhood-token",22280133.0,0.01020489186711767,0.022934308782028668,1.1345386862584848,227366.34805,510979.4499266667,30,30,30,30,2026-08-05,2026-09-03,231589.0,22280133.0,2026-08-05,2026-09-03,0.01,0.01,0.01,0.01,0.01,0.01,5,energy-web-token,Energy Web Token
FARTCOIN,FARTCOIN-USDT-SWAP,FARTCOINUSDT,ok,True,fartcoin,Fartcoin,markets_max_mcap,,2,"fartcoin,based-fartcoin",174339453.0,0.14267376082108046,0.2288722563182261,0.7490713946711325,24873665.419,39901463.97339535,30,30,30,30,2026-08-05,2026-09-03,36830846.0,174339453.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,1.0,1.0,5,fartcoin,Fartcoin
FIL,FIL-USDT-SWAP,FILUSDT,ok,True,filecoin,Filecoin,markets_max_mcap,,2,"filecoin,binance-peg-filecoin",662219344.0,0.04685706658652061,0.06616153523216169,1.0416447312551405,31029655.89669,43813448.459474996,30,30,30,30,2026-08-05,2026-09-03,111173751.0,662219344.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,filecoin,Filecoin
FLOW,FLOW-USDT-SWAP,FLOWUSDT,ok,True,flow,Flow,markets_max_mcap,,6,"flow,flow-agent,flow-state,pulsechain-flow,robinflow,stake-flow",46932674.0,0.02095546400499149,0.02432617304234998,0.5356071040266971,983495.9606649999,1141692.3490642002,30,30,30,30,2026-08-05,2026-09-03,3939780.0,46932674.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,flow,Flow
FOGO,FOGO-USDT-SWAP,FOGOUSDT,ok,True,fogo,Fogo,markets_max_mcap,,1,fogo,26204263.0,0.039700780131652624,0.04648369713079382,0.7087926826306912,1040329.6838749999,1218071.0248276668,30,30,30,30,2026-08-05,2026-09-03,1279034.0,26204263.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-05,10.0,10.0,5,fogo,Fogo
GALA,GALA-USDT-SWAP,GALAUSDT,ok,True,gala,GALA,markets_max_mcap,,1,gala,90330530.0,0.06640851294365813,0.13265510874851946,1.356178891022686,5998716.170712499,11982806.280461403,30,30,30,30,2026-08-05,2026-09-03,29133967.0,90330530.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,1.0,1.0,5,gala,GALA
GAS,GAS-USDT-SWAP,GASUSDT,ok,True,gas,Gas,markets_max_mcap,,3,"gas,gas-2,gas-town",80845340.0,0.008289345664017246,0.02477529993231521,1.441222068072053,670154.9685849999,2002967.5466299995,30,30,30,30,2026-08-05,2026-09-03,1761184.0,80845340.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,gas,Gas
GIGGLE,GIGGLE-USDT-SWAP,GIGGLEUSDT,ok,True,giggle-fund,Giggle Fund,markets_max_mcap,,1,giggle-fund,38334097.0,0.4304404685812737,0.460800830995306,0.693030705296707,16500546.67532,17664383.753054664,30,30,30,30,2026-08-05,2026-09-03,10557534.0,38334097.0,2026-08-05,2026-09-03,0.01,1.0,1.0,0.01,0.001,0.001,5,giggle-fund,Giggle Fund
GLM,GLM-USDT-SWAP,GLMUSDT,ok,True,golem,Golem,markets_max_mcap,,1,golem,108295806.0,0.0036141950122703737,0.004542892123787941,0.5968723774041355,391402.161895,491976.16411666665,30,30,30,30,2026-08-05,2026-09-03,7461312.0,108295806.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,golem,Golem
GMT,GMT-USDT-SWAP,GMTUSDT,ok,True,stepn,GMT,markets_max_mcap,,1,stepn,23339479.0,0.06434873758548766,0.08443456912927377,0.8800688220058518,1501866.0095529999,1970658.8530667336,30,30,30,30,2026-08-05,2026-09-03,13525356.0,23339479.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,1.0,1.0,5,stepn,GMT
GMX,GMX-USDT-SWAP,GMXUSDT,ok,True,gmx,GMX,markets_max_mcap,,2,"gmx,general-motors-xstock",76894457.0,0.0061114867124297395,0.007722624948722463,0.7336500247629182,469939.45221499994,593827.0520466666,30,30,30,30,2026-08-05,2026-09-03,1727577.0,76894457.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.01,0.01,5,gmx,GMX
GPS,GPS-USDT-SWAP,GPSUSDT,ok,True,goplus-security,GoPlus Security,markets_max_mcap,,1,goplus-security,58387565.0,0.0997934911180146,0.5555150274211873,2.2727005105842535,5826698.94923,32435169.772031363,30,30,30,30,2026-08-05,2026-09-03,10908717.0,58387565.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,1.0,1.0,5,goplus-security,GoPlus Security
GRAM,GRAM-USDT-SWAP,GRAMUSDT,missing_market_cap,False,gram-2,,override,override id not in top markets pages,1,blockgram,,,,0.7641794779441148,10787875.222905,14090865.005552333,30,0,30,0,2026-08-05,2026-09-03,,,2026-08-05,2026-09-03,0.001,1.0,1.0,0.0001,0.1,0.1,5,gram-2,
GRASS,GRASS-USDT-SWAP,GRASSUSDT,ok,True,grass,Grass,markets_max_mcap,,2,"grass,grass-2",238427052.0,0.020744097230816744,0.038545713987650485,1.0263738026480467,4945953.949145,9190340.953310667,30,30,30,30,2026-08-05,2026-09-03,11881898.0,238427052.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,1.0,1.0,5,grass,Grass
GRT,GRT-USDT-SWAP,GRTUSDT,ok,True,the-graph,The Graph,markets_max_mcap,,1,the-graph,189171754.0,0.006209522382535504,0.006657489541082862,0.5406015830180491,1174666.2406065,1259408.9737232998,30,30,30,30,2026-08-05,2026-09-03,20991793.0,189171754.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,the-graph,The Graph
H,H-USDT-SWAP,HUSDT,ok,True,humanity,Humanity,markets_max_mcap,,3,"humanity,h,h-2",157279114.0,0.0596783739216003,0.1884704470559263,1.6042544236686445,9386161.77535,29642464.92814,30,30,30,30,2026-08-05,2026-09-03,6526942.0,157279114.0,2026-08-05,2026-09-03,1e-05,0.1,0.1,1e-05,10.0,10.0,5,humanity,Humanity
HBAR,HBAR-USDT-SWAP,HBARUSDT,ok,True,hedera-hashgraph,Hedera,markets_max_mcap,,1,hedera-hashgraph,3484745349.0,0.002899658509356978,0.004208328528463826,0.7620234839454939,10104571.50417,14664953.266628336,30,30,30,30,2026-08-05,2026-09-03,74899145.0,3484745349.0,2026-08-05,2026-09-03,1e-05,0.1,0.1,1e-05,1.0,1.0,5,hedera-hashgraph,Hedera
HMSTR,HMSTR-USDT-SWAP,HMSTRUSDT,ok,True,hamster-kombat,Hamster Kombat,markets_max_mcap,,1,hamster-kombat,11425186.0,0.14091089211930555,0.32794614893657453,1.1429297948419492,1609933.151889,3746845.7495840667,30,30,30,30,2026-08-05,2026-09-03,4577266.0,11425186.0,2026-08-05,2026-09-03,1e-07,1.0,1.0,1e-07,10.0,10.0,5,hamster-kombat,Hamster Kombat
HOME,HOME-USDT-SWAP,HOMEUSDT,ok,True,home,HOME,markets_max_mcap,,2,"home,hood-of-meme",26374116.0,0.7431211641736163,1.2075979678391877,1.0800900115623344,19599163.785970002,31849328.885155004,30,30,30,30,2026-08-05,2026-09-03,10682977.0,26374116.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,10.0,10.0,5,home,HOME
HUMA,HUMA-USDT-SWAP,HUMAUSDT,ok,True,huma-finance,Huma Finance,markets_max_mcap,,1,huma-finance,37865856.0,0.03270594734858232,0.0769742215693843,1.3162913363112718,1238438.692645,2914694.7896584,30,30,30,30,2026-08-05,2026-09-03,5767658.0,37865856.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,1.0,1.0,5,huma-finance,Huma Finance
HYPE,HYPE-USDT-SWAP,HYPEUSDT,ok,True,hyperliquid,Hyperliquid,override,,5,"hyperliquid,hype-3,hyperbolic-protocol,superrarebears-hype,wormhole-bridged-hype",18752905783.0,0.01883642431383936,0.03088266951798128,0.7702642937946583,353237690.44604003,579139791.798229,30,30,30,30,2026-08-05,2026-09-03,1418113836.0,18752905783.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.01,0.01,5,hyperliquid,Hyperliquid
ICP,ICP-USDT-SWAP,ICPUSDT,ok,True,internet-computer,Internet Computer,markets_max_mcap,,1,internet-computer,1408448650.0,0.0087844348302084,0.010424806350067739,0.5362908162394128,12372425.37762,14682804.430264335,30,30,30,30,2026-08-05,2026-09-03,44162850.0,1408448650.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.1,0.1,5,internet-computer,Internet Computer
ICX,ICX-USDT-SWAP,ICXUSDT,ok,True,icon,ICON,markets_max_mcap,,1,icon,10198890.0,0.0875209716130873,0.09342615149848006,0.7392220795028908,892616.762175,952843.0422563333,30,30,30,30,2026-08-05,2026-09-03,391285.0,10198890.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,icon,ICON
IMX,IMX-USDT-SWAP,IMXUSDT,ok,True,immutable-x,Immutable,markets_max_mcap,,1,immutable-x,112626660.0,0.008825678998795668,0.014054175008090744,0.8724910194332588,994006.7478664999,1582874.7902167335,30,30,30,30,2026-08-05,2026-09-03,14005840.0,112626660.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,0.1,0.1,5,immutable-x,Immutable
INIT,INIT-USDT-SWAP,INITUSDT,ok,True,initia,Initia,markets_max_mcap,,2,"initia,init",12854609.0,0.03605935478667613,0.041981325339287515,0.569974087251528,463528.90657500003,539653.5225383333,30,30,30,30,2026-08-05,2026-09-03,4055526.0,12854609.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,initia,Initia
INJ,INJ-USDT-SWAP,INJUSDT,ok,True,injective-protocol,Injective,markets_max_mcap,,1,injective-protocol,506183857.0,0.03357895507777918,0.0379166886494894,0.5217768607507419,16997124.995300002,19192815.705266666,30,30,30,30,2026-08-05,2026-09-03,59986871.0,506183857.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.1,0.1,5,injective-protocol,Injective
IOST,IOST-USDT-SWAP,IOSTUSDT,ok,True,iostoken,IOST,markets_max_mcap,,1,iostoken,21934705.0,0.01640556385306071,0.023857008097798286,0.7562951014745039,359851.20347555005,523296.4348078167,30,30,30,30,2026-08-05,2026-09-03,4494683.0,21934705.0,2026-08-05,2026-09-03,1e-07,1.0,1.0,1e-07,1.0,1.0,5,iostoken,IOST
IOTA,IOTA-USDT-SWAP,IOTAUSDT,ok,True,iota,IOTA,markets_max_mcap,,1,iota,188891970.0,0.006310975900481635,0.007940278960402959,0.6848033774718009,1192092.6704645,1499854.9351800669,30,30,30,30,2026-08-05,2026-09-03,14555538.0,188891970.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,iota,IOTA
IRYS,IRYS-USDT-SWAP,IRYSUSDT,ok,True,irys,Irys,markets_max_mcap,,1,irys,27605699.0,0.026333924081944092,0.031806323823920075,0.6179861345211761,726966.381695,878035.8017796666,30,30,30,30,2026-08-05,2026-09-03,1461230.0,27605699.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,10.0,10.0,5,irys,Irys
JELLYJELLY,JELLYJELLY-USDT-SWAP,JELLYJELLYUSDT,ok,True,jelly-my-jelly,Jelly-My-Jelly,markets_max_mcap,,1,jelly-my-jelly,56780790.0,0.012374387313561507,0.014424467060185908,0.6021302510358412,702627.48743,819032.6350063335,30,30,30,30,2026-08-05,2026-09-03,4072480.0,56780790.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,jelly-my-jelly,Jelly-My-Jelly
JTO,JTO-USDT-SWAP,JTOUSDT,ok,True,jito-governance-token,Jito,markets_max_mcap,,1,jito-governance-token,233929985.0,0.055485696971275394,0.05723129089274725,0.37943644079150973,12979768.260205,13388115.020071,30,30,30,30,2026-08-05,2026-09-03,39250935.0,233929985.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,jito-governance-token,Jito
JUP,JUP-USDT-SWAP,JUPUSDT,ok,True,jupiter-exchange-solana,Jupiter,markets_max_mcap,,2,"jupiter-exchange-solana,jupiter",787550736.0,0.007433504479532352,0.009954142578894964,0.6552486255928903,5854261.923915001,7839392.3142576665,30,30,30,30,2026-08-05,2026-09-03,73111776.0,787550736.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,1.0,1.0,5,jupiter-exchange-solana,Jupiter
KAITO,KAITO-USDT-SWAP,KAITOUSDT,ok,True,kaito,KAITO,markets_max_mcap,,1,kaito,73395227.0,0.5004410598484831,0.6136830036151623,0.9936564053773453,36729985.1877,45041403.356376655,30,30,30,30,2026-08-05,2026-09-03,12545472.0,73395227.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,kaito,KAITO
KAT,KAT-USDT-SWAP,KATUSDT,ok,True,katana-network-token,Katana,markets_max_mcap,,3,"katana-network-token,karat,nearkat",14463794.0,0.06560216759828023,0.07860375911142908,0.5434031228624517,948856.238095,1136908.5794133332,30,30,30,30,2026-08-05,2026-09-03,3084579.0,14463794.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,10.0,10.0,5,katana-network-token,Katana
KGEN,KGEN-USDT-SWAP,KGENUSDT,ok,True,kgen,KGeN,markets_max_mcap,,1,kgen,34042783.0,0.02992950771562948,0.08088734710458309,1.8472835037734319,1018883.73646,2753630.4049270004,30,30,30,30,2026-08-05,2026-09-03,2000155.0,34042783.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,1.0,1.0,5,kgen,KGeN
KITE,KITE-USDT-SWAP,KITEUSDT,ok,True,kite-2,Kite,markets_max_mcap,,2,"kite-2,kite",322373609.0,0.006103493759875362,0.008598601170690123,1.0449456388867493,1967605.31088,2771962.0917470003,30,30,30,30,2026-08-05,2026-09-03,16286031.0,322373609.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,kite-2,Kite
KMNO,KMNO-USDT-SWAP,KMNOUSDT,ok,True,kamino,Kamino,markets_max_mcap,,1,kamino,135620964.0,0.006724030437506697,0.018396480695958877,1.2880752882915778,911919.4899,2494948.446193333,30,30,30,30,2026-08-05,2026-09-03,5142285.0,135620964.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,10.0,10.0,5,kamino,Kamino
KSM,KSM-USDT-SWAP,KSMUSDT,ok,True,kusama,Kusama,markets_max_mcap,,1,kusama,68905844.0,0.015131070934418858,0.01757876686900461,0.617239844539077,1042619.2133599999,1211279.7675880003,30,30,30,30,2026-08-05,2026-09-03,14507202.0,68905844.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.01,0.01,5,kusama,Kusama
LA,LA-USDT-SWAP,LAUSDT,ok,True,lagrange,Lagrange,override,,2,"lagrange,latoken",12189314.0,0.5703740543279958,0.7498276041944008,1.0932423367936048,6952468.445657,9139884.113393268,30,30,30,30,2026-08-05,2026-09-03,16722541.0,12189314.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,lagrange,Lagrange
LAB,LAB-USDT-SWAP,LABUSDT,ok,True,lab,LAB,markets_max_mcap,,3,"lab,labs-on-gold,the-professor",55876381.0,0.2749128941282901,0.3051984322475358,0.6292639065976351,15361137.614125002,17053383.880866,30,30,30,30,2026-08-05,2026-09-03,8541881.0,55876381.0,2026-08-05,2026-09-03,0.0001,0.1,0.1,0.001,1.0,1.0,5,lab,LAB
LDO,LDO-USDT-SWAP,LDOUSDT,ok,True,lido-dao,Lido DAO,markets_max_mcap,,2,"lido-dao,linea-bridged-ldo-linea",330368613.0,0.02327206946920227,0.029353268390518484,0.5353448592914102,7688361.31218,9697398.565192332,30,30,30,30,2026-08-05,2026-09-03,46097156.0,330368613.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,lido-dao,Lido DAO
LIGHT,LIGHT-USDT-SWAP,LIGHTUSDT,ok,True,bitlight,Bitlight,markets_max_mcap,,5,"bitlight,arcturian-ai-by-virtuals,heaven,light-defi,lightning-protocol",7631601.0,0.4357709628451487,0.9375216774139967,1.6121927861808283,3325630.11582,7154791.370874333,30,30,30,30,2026-08-05,2026-09-03,2158293.0,7631601.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,bitlight,Bitlight
LINEA,LINEA-USDT-SWAP,LINEAUSDT,ok,True,linea,Linea,markets_max_mcap,,1,linea,64260818.0,0.018546694760016906,0.02184049783387445,0.5647195688788826,1191825.7764750002,1403488.256332,30,30,30,30,2026-08-05,2026-09-03,8529974.0,64260818.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,10.0,10.0,5,linea,Linea
LINK,LINK-USDT-SWAP,LINKUSDT,ok,True,chainlink,Chainlink,markets_max_mcap,,3,"chainlink,linea-bridged-link-linea,osmosis-alllink",8825214920.0,0.010117903057294611,0.011008804367153022,0.5456888619844527,89292669.02035001,97155064.55236001,30,30,30,30,2026-08-05,2026-09-03,438157137.0,8825214920.0,2026-08-05,2026-09-03,0.001,0.1,0.1,0.001,0.1,0.1,5,chainlink,Chainlink
LIT,LIT-USDT-SWAP,LITUSDT,ok,True,lighter,Lighter,override,,4,"lighter,litentry,lit,timeless",1074634536.0,0.05218961779985545,0.0640113020253731,0.7452817293407209,56084765.70836501,68788755.85079268,30,30,30,30,2026-08-05,2026-09-03,148394382.0,1074634536.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,lighter,Lighter
LPT,LPT-USDT-SWAP,LPTUSDT,ok,True,livepeer,Livepeer,markets_max_mcap,,1,livepeer,69734780.0,0.012507864948523535,0.01504376678518237,0.7287546191161046,872233.2104549999,1049073.7671359999,30,30,30,30,2026-08-05,2026-09-03,14159105.0,69734780.0,2026-08-05,2026-09-03,0.001,1.0,1.0,0.001,0.1,0.1,5,livepeer,Livepeer
LQTY,LQTY-USDT-SWAP,LQTYUSDT,ok,True,liquity,Liquity,markets_max_mcap,,1,liquity,22315523.0,0.01446691280997537,0.016054730270030716,0.5366660654990277,322836.72555,358269.7025996667,30,30,30,30,2026-08-05,2026-09-03,1499167.0,22315523.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,liquity,Liquity
LRC,LRC-USDT-SWAP,LRCUSDT,ok,True,loopring,Loopring,markets_max_mcap,,1,loopring,11583261.0,0.020293090687877102,0.028936393985445896,1.0373635608384677,235060.16593435,335177.80393224995,30,30,30,30,2026-08-05,2026-09-03,9934170.0,11583261.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,loopring,Loopring
