base_coin,filter_decision,filter_reason,vol_filter_decision,vol_filter_reason,vol_cutoff,vol_quantile,std_spread,std_spread_long,std_spread_short,std_status,n_ticks,days_with_ticks,vol_window_start,vol_window_end,market_cap_usd,median_rel_vol,p99_max_clean,had_entry_tail,status,in_plot_set,gecko_id,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take,gecko_name,map_method,n_candidates,candidate_ids,ticker_volume_usd,ticker_mcap_usd,map_note,n_hist_days,n_days_both,n_days_volume,n_days_mcap,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,hist_start,hist_end,paprika_id,paprika_name,window_start,window_end,spread_n_ticks,spread_days_with_ticks,p99_long,p99_short,p95_long,p95_short,p99_max,p95_max,spread_window_start,spread_window_end,spread_joined,had_soft_tail,log_cap,log_median_rel_vol,log_fitted,log_residual,fitted_median_rel_vol,cap_cutoff_usd,mean_spread_long,mean_spread_short,std_present,std_usable,vol_min_ticks
ONDO,dropped,dropped_large_cap,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.1019752789216557,0.1019752789216557,0.0940096523140025,ok,14553246.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,1784893304.0,0.023175447171406946,0.05759236543117907,False,ok,True,ondo-finance,ONDO-USDT-SWAP,ONDOUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no,Ondo,markets_max_mcap,1,ondo-finance,95735002.0,1784893304.0,,30,30,30,30,0.032263087224953066,0.7448271437868687,41365700.473450005,57586168.354186654,2026-08-05,2026-09-03,ondo-finance,Ondo,2026-08-05,2026-09-03,16271519.0,29.0,0.05759236543117907,0.025622629747159398,0.029284967972115446,0.0007817464521439696,0.05759236543117907,0.029284967972115446,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,21.30262447672203,-3.764661872294282,-4.410299156303343,0.645637284009061,0.012151542575555818,200000000.0,-0.0134391672437538,-0.0431933977678674,True,True,10000
ONT,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.3604609398064112,0.3574997918196745,0.3604609398064112,ok,5334315.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,55680318.0,0.06736920776826381,1.3080777599999978,True,ok,True,ontology,ONT-USDT-SWAP,ONTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Ontology,markets_max_mcap,2,"ontology,binance-peg-ontology",5584274.0,55680318.0,,30,30,30,30,0.16008012090124318,1.7968069947036611,3751138.911945,8913312.037259666,2026-08-05,2026-09-03,ontology,Ontology,2026-08-05,2026-09-03,5457229.0,29.0,1.3080777599999978,0.6456836593059933,0.8038675467546754,0.27668986442866406,1.3080777599999978,0.8038675467546754,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,True,17.835137285181027,-2.6975672234929338,-3.319397415052702,0.6218301915597682,0.036174623471284605,200000000.0,0.0763330313476759,-0.1735045368756836,True,True,10000
OP,dropped,dropped_large_cap,dropped,dropped_low_vol,0.0469718977007977,0.2,0.036233014046202,0.036233014046202,0.0356005083484377,ok,10217371.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,239565139.0,0.0675580233909179,0.09120082872577148,False,ok,True,optimism,OP-USDT-SWAP,OPUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes,Optimism,markets_max_mcap,2,"optimism,one-path",87088786.0,239565139.0,,30,30,30,30,0.0821780755110655,0.6369807400007746,16184547.2642105,19687002.082560897,2026-08-05,2026-09-03,optimism,Optimism,2026-08-05,2026-09-03,10809397.0,29.0,0.03448564493711691,0.09120082872577148,0.011860457231928828,0.0689039316239323,0.09120082872577148,0.0689039316239323,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,19.2943359169588,-2.694768444561744,-3.778474043257776,1.083705598696032,0.022857544450290118,200000000.0,-0.0405633672628508,0.0125566815602535,True,True,10000
OPG,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.1214815305183937,0.0950034740304118,0.1214815305183937,ok,4579908.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,22318638.0,0.056658971676049406,0.1482192346509671,False,ok,True,opengradient,OPG-USDT-SWAP,OPGUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes,OpenGradient,markets_max_mcap,1,opengradient,7940900.0,22318638.0,,30,30,30,30,0.09081562031779596,1.1551511961676069,1264551.07829,2026880.9546183338,2026-08-05,2026-09-03,opengradient,OpenGradient,2026-08-05,2026-09-03,4865234.0,29.0,0.11221477482088019,0.1482192346509671,0.05235180784716192,0.09219223259241104,0.1482192346509671,0.09219223259241104,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,16.92093267211012,-2.870704933772888,-3.031780662872226,0.1610757290993381,0.048229680816316324,200000000.0,-0.0893332653948617,-0.047060390330969,True,True,10000
OPN,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.1159040955215916,0.1159040955215916,0.1116954127073111,ok,4748627.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,10240074.0,0.19307493097364334,0.18623049421965293,False,ok,True,opinion,OPN-USDT-SWAP,OPNUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Opinion,markets_max_mcap,2,"opinion,open-ticketing-ecosystem",2386796.0,10240074.0,,30,30,30,30,0.31216247707025035,1.5073324807868138,1977101.580715,3196566.8652226673,2026-08-05,2026-09-03,opinion,Opinion,2026-08-05,2026-09-03,5395150.0,29.0,0.18623049421965293,0.12537490775840257,0.12874049987565248,0.07414007129277567,0.18623049421965293,0.12874049987565248,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,True,16.141819404112024,-1.6446769220374609,-2.786664827184632,1.141987905147171,0.06162640626370537,200000000.0,-0.04182394016406,-0.0870854076716476,True,True,10000
ORDER,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.110285088358287,0.1083121047699271,0.110285088358287,ok,2059510.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,14088341.0,0.03429416987493417,0.5675522368421079,True,ok,True,orderly-network,ORDER-USDT-SWAP,ORDERUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Orderly,markets_max_mcap,2,"orderly-network,order-3",3232114.0,14088341.0,,30,30,30,30,0.04401665062252539,0.6496949298322371,483147.95950999996,620121.5836479999,2026-08-05,2026-09-03,orderly-network,Orderly,2026-08-05,2026-09-03,2692204.0,29.0,0.5675522368421079,0.33822788604459225,0.15688663366336655,0.28504822796387347,0.5675522368421079,0.28504822796387347,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,True,16.460858133862402,-3.372779913749259,-2.8870371967380457,-0.4857427170112132,0.055741118166221994,200000000.0,-0.3107526845328408,0.1392501039311821,True,True,10000
ORDI,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.0598431420775692,0.0590691983058325,0.0598431420775692,ok,8388500.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,89258009.0,0.10610130333923312,0.13753328964100575,False,ok,True,ordinals,ORDI-USDT-SWAP,ORDIUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes,ORDI,markets_max_mcap,1,ordinals,19696010.0,89258009.0,,30,30,30,30,0.16413956072808358,0.9347622778390229,9470391.088365,14650770.388723332,2026-08-05,2026-09-03,ordinals,ORDI,2026-08-05,2026-09-03,9150419.0,29.0,0.027290025180989264,0.13753328964100575,0.00030879694835663564,0.09274449517212435,0.13753328964100575,0.09274449517212435,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,18.307041711292605,-2.2433609493732454,-3.467862667182507,1.2245017178092614,0.03118360923681784,200000000.0,-0.0821397413088074,0.0145502558109013,True,True,10000
PARTI,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.1309386885401278,0.1309386885401278,0.0953673286140191,ok,2662496.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,5884159.0,0.18456072442977833,0.07031003289473696,False,ok,True,particle-network,PARTI-USDT-SWAP,PARTIUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Particle Network,markets_max_mcap,1,particle-network,12204502.0,5884159.0,,30,30,30,30,0.23866512609465515,0.6257237356760268,1085984.6477,1404343.549696,2026-08-05,2026-09-03,particle-network,Particle Network,2026-08-05,2026-09-03,3003126.0,29.0,0.04161027638088233,0.07031003289473696,0.0002524459330142142,0.03461021346530301,0.07031003289473696,0.03461021346530301,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,15.587774382772084,-1.689776739952158,-2.6123574267173844,0.9225806867652264,0.07336139563713709,200000000.0,-0.1156341777703219,-0.075323149814915,True,True,10000
PENDLE,dropped,dropped_large_cap,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.0720634768562986,0.0701511666355946,0.0720634768562986,ok,6272383.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,333172929.0,0.010990445818903852,0.1492315605095548,False,ok,True,pendle,PENDLE-USDT-SWAP,PENDLEUSDT,0.001,1.0,1.0,0.0001,1.0,1.0,5,yes,Pendle,markets_max_mcap,1,pendle,49675270.0,333172929.0,,30,30,30,30,0.015306589837465457,0.8331214712033906,3661719.0245,5099741.369150002,2026-08-05,2026-09-03,pendle,Pendle,2026-08-05,2026-09-03,6866730.0,29.0,0.1492315605095548,0.019488538347840218,0.07704332756305685,0.0005107680011971099,0.1492315605095548,0.07704332756305685,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,19.624172219458167,-4.510728945520057,-3.8822434234596743,-0.6284855220603829,0.020604548564471636,200000000.0,-0.031555062273508,-0.1186478750900111,True,True,10000
PENGU,dropped,dropped_large_cap,dropped,dropped_low_vol,0.0469718977007977,0.2,0.0378523557922319,0.0378523557922319,0.0361282421806381,ok,16162679.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,561379530.0,0.04769482302289327,0.08577874108084678,False,ok,True,pudgy-penguins,PENGU-USDT-SWAP,PENGUUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes,Pudgy Penguins,markets_max_mcap,1,pudgy-penguins,212885374.0,561379530.0,,30,30,30,30,0.0804804832043882,0.9367324237596308,26774897.332025,45180095.83545233,2026-08-05,2026-09-03,pudgy-penguins,Pudgy Penguins,2026-08-05,2026-09-03,17280207.0,29.0,0.0629457068965523,0.08577874108084678,0.04108588965305292,0.05809485823853146,0.08577874108084678,0.05809485823853146,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,20.145907758811894,-3.042932418992683,-4.046385978835742,1.003453559843059,0.017485453385477044,200000000.0,-0.0194171926609629,-0.0087268461261683,True,True,10000
