base_coin,filter_decision,filter_reason,cap_cutoff_usd,market_cap_usd,median_rel_vol,fitted_median_rel_vol,log_residual,p99_max,p99_max_clean,p95_max,had_entry_tail,had_soft_tail,spread_n_ticks,spread_joined,spread_window_start,spread_window_end,status,in_plot_set,gecko_id,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take,gecko_name,map_method,n_candidates,candidate_ids,ticker_volume_usd,ticker_mcap_usd,map_note,n_hist_days,n_days_both,n_days_volume,n_days_mcap,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,hist_start,hist_end,paprika_id,paprika_name,window_start,window_end,spread_days_with_ticks,p99_long,p99_short,p95_long,p95_short,log_cap,log_median_rel_vol,log_fitted
TRUMP,dropped,dropped_large_cap,200000000.0,637350743.0,0.3071616687497923,0.016800997194199186,2.905935975837977,0.08171647354497381,0.08171647354497381,0.000996673739566239,False,False,19125774.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,official-trump,TRUMP-USDT-SWAP,TRUMPUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes,Official Trump,markets_max_mcap,4,"official-trump,bridged-maga-wormhole,maga,meme-trumpcoin",504419043.0,637350743.0,,30,30,30,30,0.5786409034286898,1.3123873946158304,195769717.7988,368797209.73046666,2026-08-05,2026-09-03,official-trump,Official Trump,2026-08-05,2026-09-03,29.0,0.08171647354497381,0.05312305391540097,0.000996673739566239,0.000861886360913228,20.272830678957018,-1.1803810616989214,-4.086317037536898
TRUST,kept,kept_cap_le_cutoff,200000000.0,18168890.0,0.01807791794187757,0.0514542567365386,-1.0460020040108917,0.43189475095785407,0.43189475095785407,0.14330698386199267,False,True,2311248.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,trust-3,TRUST-USDT-SWAP,TRUSTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,TRUST,markets_max_mcap,5,"trust-3,intuition,trust-me-bros-by-virtuals,trustra,trust-the-process",5119.94,18168890.0,close mcap runner-up intuition cap=9730140 vs 18168890,30,30,30,30,0.0430450089103407,1.970204109499944,328455.702515,782080.0319409999,2026-08-05,2026-09-03,trust-3,TRUST,2026-08-05,2026-09-03,29.0,0.059215077720207836,0.43189475095785407,0.0004807526793072341,0.14330698386199267,16.715221348797993,-4.0130640887313005,-2.9670620847204088
TRUTH,kept,kept_cap_le_cutoff,200000000.0,25642491.0,0.013598576299393067,0.046168507315010945,-1.2223328024096256,0.09392426510369642,0.09392426510369642,0.04604606893265508,False,False,3433398.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,swarm-network,TRUTH-USDT-SWAP,TRUTHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes,Swarm Network,markets_max_mcap,4,"swarm-network,true-source,truthchain,truthgpt",1214200.0,25642491.0,,30,30,30,30,0.0144472781763675,0.4034921558286488,348701.37037,370464.200612,2026-08-05,2026-09-03,swarm-network,Swarm Network,2026-08-05,2026-09-03,29.0,0.09392426510369642,0.05482635637149005,0.04604606893265508,0.007089495958154796,17.059761338183822,-4.297790175588026,-3.0754573731784003
TRX,dropped,dropped_large_cap,200000000.0,31428357404.0,0.0004893908819043923,0.004928563466808235,-2.309641318869674,0.08147757695343337,0.08147757695343337,0.04917339572192483,False,False,5604320.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,tron,TRX-USDT-SWAP,TRXUSDT,1e-05,0.01,0.01,1e-05,1.0,1.0,5,no,TRON,markets_max_mcap,3,"tron,solana-bridged-trx-solana,tron-bsc",371288165.0,31428357404.0,,30,30,30,30,0.0006246779198626298,0.5619007504844233,15380751.54675,19632600.927830003,2026-08-05,2026-09-03,tron,TRON,2026-08-05,2026-09-03,29.0,0.014987068932776815,0.08147757695343337,0.0009676195335271587,0.04917339572192483,24.170976424347543,-7.622349038301328,-5.312707719431654
UB,dropped,dropped_large_cap,200000000.0,308469038.0,0.03214025015567365,0.02111005296090718,0.42035977292820936,0.17679625765164134,0.17679625765164134,0.12230726947139331,False,True,13632526.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,unibase,UB-USDT-SWAP,UBUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,yes,Unibase,markets_max_mcap,1,unibase,10439084.0,308469038.0,,30,30,30,30,0.0811957280933546,1.9490566833154819,9914272.0466,25046368.13466667,2026-08-05,2026-09-03,unibase,Unibase,2026-08-05,2026-09-03,29.0,0.11604328478964372,0.17679625765164134,0.049134948997293384,0.12230726947139331,19.547132033226006,-3.4376461353902523,-3.8580059083184617
UMA,kept,kept_cap_le_cutoff,200000000.0,33680917.0,0.009939660510133974,0.042372950441279145,-1.4499773311882693,0.1392558823529409,0.1392558823529409,0.0815317009345796,False,False,2277191.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,uma,UMA-USDT-SWAP,UMAUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes,UMA,markets_max_mcap,1,uma,7445982.0,33680917.0,,30,30,30,30,0.012171578260542411,0.6653926367064773,334776.88065000006,409949.9171523334,2026-08-05,2026-09-03,uma,UMA,2026-08-05,2026-09-03,29.0,0.1392558823529409,0.06224961512592452,0.0815317009345796,0.029974401330136922,17.33244197380861,-4.611222412806975,-3.1612450816187057
UNI,dropped,dropped_large_cap,200000000.0,3913778521.0,0.017998423388327446,0.009491937597351716,0.6398414002067243,0.0689573336565416,0.0689573336565416,0.046317607717376766,False,False,18496526.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,uniswap,UNI-USDT-SWAP,UNIUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,no,Uniswap,markets_max_mcap,5,"uniswap,linea-bridged-uni-linea,uni,unicorn-token,uniswap-wormhole",921433128.0,3913778521.0,,30,30,30,30,0.028005209358548847,0.9880474167680833,70441842.8691,109606186.86359666,2026-08-05,2026-09-03,uniswap,Uniswap,2026-08-05,2026-09-03,29.0,0.0009891978430084884,0.0689573336565416,0.0006475275742760877,0.046317607717376766,22.08776911796256,-4.017471114459524,-4.657312514666248
USELESS,kept,kept_cap_le_cutoff,200000000.0,188131270.0,0.03386380537382222,0.024663331129779434,0.3170291849896003,0.13858701029664092,0.13858701029664092,0.09166066906264439,False,False,9157318.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,useless-3,USELESS-USDT-SWAP,USELESSUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Useless Coin,markets_max_mcap,2,"useless-3,useless-coin",131073548.0,188131270.0,,30,30,30,30,0.18533308701516585,2.112821932010944,6370840.71201,34866949.033183664,2026-08-05,2026-09-03,useless-3,Useless Coin,2026-08-05,2026-09-03,29.0,0.13858701029664092,0.13847198319327708,0.09166066906264439,0.08056605114311494,19.05265052181567,-3.3854085230685307,-3.702437708058131
VANA,kept,kept_cap_le_cutoff,200000000.0,28135814.0,0.018694128364670735,0.044840178271430345,-0.8748950905583954,0.15135544198895032,0.15135544198895032,0.10204437940379427,False,True,4538833.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,vana,VANA-USDT-SWAP,VANAUSDT,0.001,1.0,1.0,0.0001,0.01,0.01,5,yes,Vana,markets_max_mcap,1,vana,1305327.0,28135814.0,,30,30,30,30,0.02171702707138074,0.4523810685053579,525974.5185605,611026.2343133334,2026-08-05,2026-09-03,vana,Vana,2026-08-05,2026-09-03,29.0,0.15135544198895032,0.08116954182429559,0.10204437940379427,0.039934692950066145,17.15255384236631,-3.9795457956212306,-3.104650705062835
VIRTUAL,dropped,dropped_large_cap,200000000.0,467649595.0,0.02696049877558431,0.018519817346128422,0.37553141980169125,0.11593387441597025,0.11593387441597025,0.08790267451313781,False,False,10349510.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,virtual-protocol,VIRTUAL-USDT-SWAP,VIRTUALUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes,Virtuals Protocol,markets_max_mcap,1,virtual-protocol,52303040.0,467649595.0,,30,30,30,30,0.03469303256091419,0.7056387520807229,12608066.3334,16224182.626433332,2026-08-05,2026-09-03,virtual-protocol,Virtuals Protocol,2026-08-05,2026-09-03,29.0,0.04948812940319064,0.11593387441597025,0.01648292020861921,0.08790267451313781,19.96322984481217,-3.613382492531111,-3.9889139123328023
